Test_ID,Query
TC001,Find me a 7-day cruise from Miami to the Caribbean
TC002,Show me cruises under $2000 per person
TC003,I'm looking for a romantic cruise with spa and fine dining
TC004,"I want a 7-day cruise from Miami in June for two people under $3000, balcony preferred"
TC005,What do you recommend for a first-time cruiser?
TC006,Compare Caribbean cruises versus Mediterranean cruises
TC007,Family cruise with kids programs and waterslides
TC008,Alaska cruise departing from Seattle in July
TC009,Luxury cruise with balcony under $5000
TC010,What's available for a couple's anniversary cruise?
TC011,10-day Mediterranean cruise from Barcelona in September for 4 adults
TC012,Are there any cruises with all-inclusive dining and drinks?
TC013,Cheapest 7-day Caribbean cruise
TC014,"I need a cruise that's good for senior citizens, with accessible cabins"
TC015,Show me what cruises leave next month
TC016,"I want an adventure cruise with rock climbing, zip lines, and water sports"
TC017,What's the difference between inside cabin and balcony cabin pricing?
TC018,Find cruises that stop in Cozumel and Grand Cayman
TC019,"I have motion sickness, recommend cruises with larger ships"
TC020,Honeymoon cruise package with romantic excursions
TC021,Which cruise line has the best food?
TC022,"Short weekend cruise, 3-4 days from Florida"
TC023,Transatlantic repositioning cruise
TC024,Cruise with Broadway-style shows and entertainment
TC025,"Last minute cruise deals, leaving within 2 weeks"
TC026,Best cruise for someone who gets bored easily - lots of activities
TC027,Give me cruise options for December holidays
TC028,"I'm traveling solo, which cruises are good for single travelers?"
TC029,"15-day cruise, any destination, just want the longest voyage available"
TC030,Cruises with casino and nightlife
TC031,"Vegan-friendly cruise with plant-based dining options, Mediterranean preferred"
TC032,What's included in the cruise fare versus what costs extra?
TC033,"I want to visit multiple Caribbean islands in one trip, 10+ days"
TC034,Cruise with kids club so parents can have adult time
TC035,What documents do I need for an international cruise?
TC036,"Budget cruise, don't care about amenities, just want to get on the water"
TC037,Cruise that visits both Caribbean and Central American ports
TC038,"I'm prone to seasickness, what routes are calmest?"
TC039,Cruise departing from New York in fall with foliage viewing
TC040,"Anniversary cruise, we went on Royal Adventure 5 years ago and loved it"
